package name,file,class,type,D,is_CD
com.jgraph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\JGraphpadDemo.java,com.jgraph.JGraphpadDemo$JGraphpadDemoFileAction,innerclass,0.71,1
com.jgraph.browserplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\browserplugin\JGraphpadBrowserPlugin.java,com.jgraph.browserplugin.JGraphpadBrowserPlugin,class,0,0
com.jgraph.bshplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\bshplugin\JGraphpadBshPlugin.java,com.jgraph.bshplugin.JGraphpadBshPlugin$ExtendedBottomTabFactoryMethod,innerclass,0,0
com.jgraph.codecplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\codecplugin\JGraphpadGXLCodec.java,com.jgraph.codecplugin.JGraphpadGXLCodec,class,0.25,0
com.jgraph.editor,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\JGraphEditorTool.java,com.jgraph.editor.JGraphEditorTool,class,0.35,1
com.jgraph.editor.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\factory\JGraphEditorToolbox.java,com.jgraph.editor.factory.JGraphEditorToolbox$MarqueeRedirector,innerclass,0.54,1
com.jgraph.epsplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\epsplugin\JGraphpadEPSPlugin.java,com.jgraph.epsplugin.JGraphpadEPSPlugin,class,0,0
com.jgraph.jgxplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\jgxplugin\JGraphpadJGXPlugin.java,com.jgraph.jgxplugin.JGraphpadJGXPlugin,class,0,0
com.jgraph.l2fplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\l2fplugin\JGraphpadL2FPropertySheet.java,com.jgraph.l2fplugin.JGraphpadL2FPropertySheet$FactoryMethod,innerclass,0,0
com.jgraph.layoutplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\layoutplugin\JGraphpadLayoutPlugin.java,com.jgraph.layoutplugin.JGraphpadLayoutPlugin$ExtendedBottomTabFactoryMethod,innerclass,0,0
com.jgraph.pad,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\JGraphpadLibrary.java,com.jgraph.pad.JGraphpadLibrary,class,0.5,1
com.jgraph.pad.action,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\action\JGraphpadViewAction.java,com.jgraph.pad.action.JGraphpadViewAction$AllActions,innerclass,0.5,1
