package name,file,class,type,cbo,rfc,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,nof,nopf,nom,nopm,loc,wmc,nc,dit,lcom,fanin,fanout,ca,ce,A,I,D,is_FC
com.jgraph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\JGraphpadDemo.java,com.jgraph.JGraphpadDemo$JGraphpadDemoFileAction,innerclass,97,183,0.0218012,0.063855014,72,8,39,0,33,0,73,0,0,0,49,38,43,1,5,0,20,0,46,37,5,22,11,8,123,24,133,14,105,7,14,2,0,799,22,0,50,44,93,53,1274,138,1,5,-0.092200645,98,78,17,7,0,0.29,0.71,0
com.jgraph.browserplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\browserplugin\JGraphpadBrowserPlugin.java,com.jgraph.browserplugin.JGraphpadBrowserPlugin,class,17,50,0.083333335,0.083333335,13,7,7,6,0,0,9,0,0,0,39,38,3,35,1,0,14,0,29,31,1,8,15,0,59,24,129,17,73,7,0,1,0,561,12,0,40,4,15,9,615,46,0,3,0.5625,3,11,0,5,0,1,0,0
com.jgraph.bshplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\bshplugin\JGraphpadBshPlugin.java,com.jgraph.bshplugin.JGraphpadBshPlugin$ExtendedBottomTabFactoryMethod,innerclass,17,11,1,1,5,0,5,0,0,0,5,0,0,0,4,1,1,0,3,0,0,0,1,3,0,2,1,0,6,0,10,1,9,4,0,2,0,145,19,0,8,2,9,9,150,15,0,3,0,3,14,0,5,0,1,0,0
com.jgraph.codecplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\codecplugin\JGraphpadGXLCodec.java,com.jgraph.codecplugin.JGraphpadGXLCodec,class,49,203,0.255833333,0.2575,43,32,14,5,24,0,39,0,0,0,10,9,6,1,0,3,4,0,112,41,15,42,10,14,155,65,179,37,155,16,1,1,0,558,13,0,17,13,47,18,844,136,1,4,0.267586207,12,24,2,6,0,0.75,0.25,0
com.jgraph.editor,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\JGraphEditorTool.java,com.jgraph.editor.JGraphEditorTool,class,54,255,0.191574323,0.228719973,145,29,131,0,13,1,146,0,0,0,32,20,16,0,15,1,18,0,64,111,26,76,9,17,41,41,217,27,188,26,7,3,0,1393,1040,0,36,16,160,143,1893,317,35,0,-0.224847657,145,29,18,6,0.43,0.25,0.35,0
com.jgraph.editor.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\factory\JGraphEditorToolbox.java,com.jgraph.editor.factory.JGraphEditorToolbox$MarqueeRedirector,innerclass,80,291,0.23007272,0.284776754,124,5,106,0,18,0,125,1,0,0,66,26,21,0,45,0,9,0,37,58,13,70,1,54,17,213,259,131,195,27,7,12,0,1463,1112,0,89,33,169,147,2237,291,21,5,0.289284018,61,27,6,4,0.06,0.4,0.54,1
com.jgraph.epsplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\epsplugin\JGraphpadEPSPlugin.java,com.jgraph.epsplugin.JGraphpadEPSPlugin,class,21,43,0.333333333,0.333333333,7,0,7,0,0,0,8,0,0,0,3,2,3,0,0,0,1,0,12,1,0,1,1,0,6,6,16,6,15,3,0,1,0,189,11,0,4,4,10,10,135,15,0,4,0.111111111,4,14,0,6,0,1,0,0
com.jgraph.jgxplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\jgxplugin\JGraphpadJGXPlugin.java,com.jgraph.jgxplugin.JGraphpadJGXPlugin,class,39,148,0.35446951,0.569590645,43,1,42,0,1,0,44,0,1,0,24,10,7,0,17,0,4,0,49,49,21,77,4,5,82,42,236,6,178,11,0,4,0,408,30,0,42,18,65,64,834,197,0,4,0.035714286,5,23,0,7,0,1,0,1
com.jgraph.l2fplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\l2fplugin\JGraphpadL2FPropertySheet.java,com.jgraph.l2fplugin.JGraphpadL2FPropertySheet$FactoryMethod,innerclass,42,62,0.285714286,0.285714286,17,0,14,0,3,0,18,0,0,0,4,1,2,0,2,0,0,0,11,10,2,7,0,2,19,4,42,5,32,5,2,3,0,360,31,0,8,4,26,23,338,53,0,8,0.164285714,10,32,0,7,0,1,0,0
com.jgraph.layoutplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\layoutplugin\JGraphpadLayoutPlugin.java,com.jgraph.layoutplugin.JGraphpadLayoutPlugin$ExtendedBottomTabFactoryMethod,innerclass,62,107,0.662301589,0.662301589,29,0,21,0,8,0,30,0,0,0,18,5,6,0,12,0,3,0,36,14,0,8,2,4,27,83,120,3,68,13,5,5,0,592,40,0,35,12,45,37,712,72,0,6,0.064393939,14,37,0,10,0,1,0,0
com.jgraph.pad,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\JGraphpadLibrary.java,com.jgraph.pad.JGraphpadLibrary,class,3,2.666666667,0.173376627,0.22893218,28,0,28,0,0,0,28,0,0,0,6,0,0,0,6,0,0,0,0,12,0,2,0,1,0,0,13,0,7,1,0,0,0,187,3,0,6,0,28,28,177,29,1,4,0.568602694,9,2,2,2,0,0.5,0.5,0
