package name,file,class,type,cbo,rfc,lcc,publicMethodsQty,privateMethodsQty,abstractMethodsQty,comparisonsQty,parenthesizedExpsQty,maxNestedBlocksQty,publicFieldsQty,uniqueWordsQty,modifiers,loc,dit,lcom,fanin,is_FC
com.jgraph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\JGraphpadDemo.java,com.jgraph.JGraphpadDemo$JGraphpadDemoFileAction,innerclass,97,183,0.063855014,39,0,73,22,8,7,38,799,22,1274,5,-0.092200645,98,0
com.jgraph.browserplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\browserplugin\JGraphpadBrowserPlugin.java,com.jgraph.browserplugin.JGraphpadBrowserPlugin,class,17,50,0.083333335,7,6,9,8,0,7,38,561,12,615,3,0.5625,3,0
com.jgraph.bshplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\bshplugin\JGraphpadBshPlugin.java,com.jgraph.bshplugin.JGraphpadBshPlugin$ExtendedBottomTabFactoryMethod,innerclass,17,11,1,5,0,5,2,0,4,1,145,19,150,3,0,3,0
com.jgraph.codecplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\codecplugin\JGraphpadGXLCodec.java,com.jgraph.codecplugin.JGraphpadGXLCodec,class,49,203,0.2575,14,5,39,42,14,16,9,558,13,844,4,0.267586207,12,0
com.jgraph.editor,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\JGraphEditorTool.java,com.jgraph.editor.JGraphEditorTool,class,54,255,0.228719973,131,0,146,76,17,26,20,1393,1040,1893,0,-0.224847657,145,0
com.jgraph.editor.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\factory\JGraphEditorToolbox.java,com.jgraph.editor.factory.JGraphEditorToolbox$MarqueeRedirector,innerclass,80,291,0.284776754,106,0,125,70,54,27,26,1463,1112,2237,5,0.289284018,61,1
com.jgraph.epsplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\epsplugin\JGraphpadEPSPlugin.java,com.jgraph.epsplugin.JGraphpadEPSPlugin,class,21,43,0.333333333,7,0,8,1,0,3,2,189,11,135,4,0.111111111,4,0
com.jgraph.jgxplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\jgxplugin\JGraphpadJGXPlugin.java,com.jgraph.jgxplugin.JGraphpadJGXPlugin,class,39,148,0.569590645,42,0,44,77,5,11,10,408,30,834,4,0.035714286,5,1
com.jgraph.l2fplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\l2fplugin\JGraphpadL2FPropertySheet.java,com.jgraph.l2fplugin.JGraphpadL2FPropertySheet$FactoryMethod,innerclass,42,62,0.285714286,14,0,18,7,2,5,1,360,31,338,8,0.164285714,10,0
com.jgraph.layoutplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\layoutplugin\JGraphpadLayoutPlugin.java,com.jgraph.layoutplugin.JGraphpadLayoutPlugin$ExtendedBottomTabFactoryMethod,innerclass,62,107,0.662301589,21,0,30,8,4,13,5,592,40,712,6,0.064393939,14,0
