package name,file,class,type,cbo,rfc,privateMethodsQty,protectedFieldsQty,returnQty,loopQty,uniqueWordsQty,modifiers,loc,wmc,lcom,fanin,fanout,is_LS
com.jgraph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\JGraphpadDemo.java,com.jgraph.JGraphpadDemo$JGraphpadDemoFileAction,innerclass,97,183,0,1,37,5,799,22,1274,138,-0.092200645,98,78,0
com.jgraph.browserplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\browserplugin\JGraphpadBrowserPlugin.java,com.jgraph.browserplugin.JGraphpadBrowserPlugin,class,17,50,6,35,31,1,561,12,615,46,0.5625,3,11,0
com.jgraph.bshplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\bshplugin\JGraphpadBshPlugin.java,com.jgraph.bshplugin.JGraphpadBshPlugin$ExtendedBottomTabFactoryMethod,innerclass,17,11,0,0,3,0,145,19,150,15,0,3,14,1
com.jgraph.codecplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\codecplugin\JGraphpadGXLCodec.java,com.jgraph.codecplugin.JGraphpadGXLCodec,class,49,203,5,1,41,15,558,13,844,136,0.267586207,12,24,0
com.jgraph.editor,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\JGraphEditorTool.java,com.jgraph.editor.JGraphEditorTool,class,54,255,0,0,111,26,1393,1040,1893,317,-0.224847657,145,29,0
com.jgraph.editor.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\factory\JGraphEditorToolbox.java,com.jgraph.editor.factory.JGraphEditorToolbox$MarqueeRedirector,innerclass,80,291,0,0,58,13,1463,1112,2237,291,0.289284018,61,27,0
com.jgraph.epsplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\epsplugin\JGraphpadEPSPlugin.java,com.jgraph.epsplugin.JGraphpadEPSPlugin,class,21,43,0,0,1,0,189,11,135,15,0.111111111,4,14,1
com.jgraph.jgxplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\jgxplugin\JGraphpadJGXPlugin.java,com.jgraph.jgxplugin.JGraphpadJGXPlugin,class,39,148,0,0,49,21,408,30,834,197,0.035714286,5,23,0
com.jgraph.l2fplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\l2fplugin\JGraphpadL2FPropertySheet.java,com.jgraph.l2fplugin.JGraphpadL2FPropertySheet$FactoryMethod,innerclass,42,62,0,0,10,2,360,31,338,53,0.164285714,10,32,0
com.jgraph.layoutplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\layoutplugin\JGraphpadLayoutPlugin.java,com.jgraph.layoutplugin.JGraphpadLayoutPlugin$ExtendedBottomTabFactoryMethod,innerclass,62,107,0,0,14,0,592,40,712,72,0.064393939,14,37,0
com.jgraph.pad,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\JGraphpadLibrary.java,com.jgraph.pad.JGraphpadLibrary,class,3,2.666666667,0,0,12,0,187,3,177,29,0.568602694,9,2,1
com.jgraph.pad.action,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\action\JGraphpadViewAction.java,com.jgraph.pad.action.JGraphpadViewAction$AllActions,innerclass,121,610,0,2,27,30,1926,60,3306,511,0.198800505,28,77,0
com.jgraph.pad.dialog,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\dialog\JGraphpadHeaderPanel.java,com.jgraph.pad.dialog.JGraphpadHeaderPanel,class,24,119,0,0,27,1,547,33,842,92,0.154462848,18,18,0
com.jgraph.pad.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\factory\JGraphpadWindowMenu.java,com.jgraph.pad.factory.JGraphpadWindowMenu$FactoryMethod,innerclass,138,344,0,3,44,24,1677,117,2763,452,0.120972367,68,114,0
com.jgraph.pad.graph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\graph\JGraphpadVertexView.java,com.jgraph.pad.graph.JGraphpadVertexView,class,115,480,3,4,124,8,2128,27,2488,386,0.051640405,73,42,0
com.jgraph.pad.tool,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\tool\JGraphpadVertexTool.java,com.jgraph.pad.tool.JGraphpadVertexTool,class,17,119,0,0,11,0,341,2,463,69,0.107142857,2,0,0
com.jgraph.pad.util,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\util\JGraphpadTreeModelAdapter.java,com.jgraph.pad.util.JGraphpadTreeModelAdapter,class,43,213,6,18,63,40,1165,2118,2213,425,0.10040234,47,19,0
com.jgraph.pdfplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pdfplugin\JGraphpadPDFPlugin.java,com.jgraph.pdfplugin.JGraphpadPDFPlugin,class,23,49,0,0,1,0,195,11,144,15,0.111111111,4,14,1
com.jgraph.svgplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\svgplugin\JGraphpadSVGServer.java,com.jgraph.svgplugin.JGraphpadSVGServer$HTTPSession,innerclass,42,134,5,3,14,9,584,15,751,116,0.077294686,9,25,0
com.jgraph.twikiplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\twikiplugin\JGraphpadTWikiPlugin.java,com.jgraph.twikiplugin.JGraphpadTWikiPlugin,class,24,39,0,0,1,0,234,11,150,18,0.388888889,4,17,1
junit.extensions,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\extensions,junit.extensions.TestSetup,class,15,15,0,2,6,2,143,4,133,28,0.013888889,1,9,1
junit.framework,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,class,61,209,15,23,80,14,911,1038,1369,242,-0.096009537,59,44,0
junit.runner,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\runner\Version.java,junit.runner.Version,class,7,50,3,1,29,3,228,1027,290,57,-0.574712644,6,6,0
