package name,file,class,type,wmc,is_LS
com.jgraph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\JGraphpadDemo.java,com.jgraph.JGraphpadDemo$JGraphpadDemoFileAction,innerclass,138,0
com.jgraph.browserplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\browserplugin\JGraphpadBrowserPlugin.java,com.jgraph.browserplugin.JGraphpadBrowserPlugin,class,46,0
com.jgraph.bshplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\bshplugin\JGraphpadBshPlugin.java,com.jgraph.bshplugin.JGraphpadBshPlugin$ExtendedBottomTabFactoryMethod,innerclass,15,1
com.jgraph.codecplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\codecplugin\JGraphpadGXLCodec.java,com.jgraph.codecplugin.JGraphpadGXLCodec,class,136,0
com.jgraph.editor,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\JGraphEditorTool.java,com.jgraph.editor.JGraphEditorTool,class,317,0
com.jgraph.editor.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\factory\JGraphEditorToolbox.java,com.jgraph.editor.factory.JGraphEditorToolbox$MarqueeRedirector,innerclass,291,0
com.jgraph.epsplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\epsplugin\JGraphpadEPSPlugin.java,com.jgraph.epsplugin.JGraphpadEPSPlugin,class,15,1
com.jgraph.jgxplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\jgxplugin\JGraphpadJGXPlugin.java,com.jgraph.jgxplugin.JGraphpadJGXPlugin,class,197,0
com.jgraph.l2fplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\l2fplugin\JGraphpadL2FPropertySheet.java,com.jgraph.l2fplugin.JGraphpadL2FPropertySheet$FactoryMethod,innerclass,53,0
com.jgraph.layoutplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\layoutplugin\JGraphpadLayoutPlugin.java,com.jgraph.layoutplugin.JGraphpadLayoutPlugin$ExtendedBottomTabFactoryMethod,innerclass,72,0
com.jgraph.pad,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\JGraphpadLibrary.java,com.jgraph.pad.JGraphpadLibrary,class,29,1
com.jgraph.pad.action,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\action\JGraphpadViewAction.java,com.jgraph.pad.action.JGraphpadViewAction$AllActions,innerclass,511,0
com.jgraph.pad.dialog,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\dialog\JGraphpadHeaderPanel.java,com.jgraph.pad.dialog.JGraphpadHeaderPanel,class,92,0
com.jgraph.pad.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\factory\JGraphpadWindowMenu.java,com.jgraph.pad.factory.JGraphpadWindowMenu$FactoryMethod,innerclass,452,0
com.jgraph.pad.graph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\graph\JGraphpadVertexView.java,com.jgraph.pad.graph.JGraphpadVertexView,class,386,0
com.jgraph.pad.tool,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\tool\JGraphpadVertexTool.java,com.jgraph.pad.tool.JGraphpadVertexTool,class,69,0
com.jgraph.pad.util,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\util\JGraphpadTreeModelAdapter.java,com.jgraph.pad.util.JGraphpadTreeModelAdapter,class,425,0
com.jgraph.pdfplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pdfplugin\JGraphpadPDFPlugin.java,com.jgraph.pdfplugin.JGraphpadPDFPlugin,class,15,1
com.jgraph.svgplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\svgplugin\JGraphpadSVGServer.java,com.jgraph.svgplugin.JGraphpadSVGServer$HTTPSession,innerclass,116,0
com.jgraph.twikiplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\twikiplugin\JGraphpadTWikiPlugin.java,com.jgraph.twikiplugin.JGraphpadTWikiPlugin,class,18,1
