package name,file,class,type,cbo,lcc,staticMethodsQty,nosi,returnQty,numbersQty,uniqueWordsQty,modifiers,nopm,fanin,fanout,ca,A,I,D,is_UD
org.quickserver.net.client,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\HttpHost.java,org.quickserver.net.client.HttpHost,class,17,0.252248355,12,29,77,49,415,8,142,43,8,6,0.1,0.14,0.76,1
org.quickserver.net.client.loaddistribution,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\loaddistribution\LoadPattern.java,org.quickserver.net.client.loaddistribution.LoadPattern,interface,28,0.611111117,0,4,19,6,148,6,24,2,17,2,0.5,0.33,0.17,0
org.quickserver.net.client.monitoring.impl,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\monitoring\impl\UDPMonitor.java,org.quickserver.net.client.monitoring.impl.UDPMonitor,class,27,0.271892553,13,23,31,10,271,7,44,7,19,1,0,0.67,0.33,0
org.quickserver.net.client.pool,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\pool\PooledBlockingClient.java,org.quickserver.net.client.pool.PooledBlockingClient,class,23,0.41587302,1,17,50,32,252,3,69,3,16,0,0.14,1,0.14,0
org.quickserver.net.qsadmin,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\qsadmin\Data.java,org.quickserver.net.qsadmin.Data,class,30,0.4,2,48,58,144,430,4,13,5,13,3,0.12,0.7,0.18,0
org.quickserver.net.qsadmin.gui,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\qsadmin\gui\SplashScreen.java,org.quickserver.net.qsadmin.gui.SplashScreen,class,59,0.449880271,8,56,72,243,1054,17,155,43,54,0,0.02,1,0.02,0
org.quickserver.net.server,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\server\GhostSocketReaper.java,org.quickserver.net.server.GhostSocketReaper,class,37,-0.0625,0,12,17,32,1373,17,34,57,22,9,0.5,0.61,0.11,0
org.quickserver.net.server.gui,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\server\gui\About.java,org.quickserver.net.server.gui.About,class,4,0,2,12,0,49,74,1,4,2,3,1,0,0.75,0.25,0
org.quickserver.net.server.impl,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\server\impl\SyncClientIdentifier.java,org.quickserver.net.server.impl.SyncClientIdentifier,class,90,0.244447591,10,121,161,97,1107,2065,153,5,8,3,0.2,0.77,0.03,0
org.quickserver.security,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\security\SecureStoreManager.java,org.quickserver.security.SecureStoreManager,class,9,0.05357143,0,14,15,6,212,2,37,0,0,1,0,0.67,0.33,0
